0,0 0,00 1,00 0,00 1,00
5600,0 -1,91 -1,92 -1,94 -1,94
5610,0 -1,91 -1,92 -1,94 -1,94
5620,0 -1,91 -1,92 -1,94 -1,94
5630,0 -1,91 -1,92 -1,94 -1,94
5640,0 -1,91 -1,92 -1,94 -1,94
5650,0 -1,91 -1,92 -1,94 -1,96
5660,0 -1,91 -1,92 -1,94 -1,96
5670,0 -1,91 -1,92 -1,94 -1,96
5680,0 -1,89 -1,92 -1,94 -1,96
5690,0 -1,89 -1,92 -1,94 -1,96
5700,0 -1,90 -1,92 -1,94 -1,94
5710,0 -1,92 -1,92 -1,94 -1,94
5720,0 -1,92 -1,92 -1,94 -1,94
5730,0 -1,92 -1,92 -1,94 -1,94
5740,0 -1,92 -1,92 -1,94 -1,94
5750,0 -1,92 -1,92 -1,94 -1,95
5760,0 -1,91 -1,92 -1,94 -1,96
5770,0 -1,91 -1,92 -1,94 -1,96
5780,0 -1,91 -1,92 -1,94 -1,96
5790,0 -1,91 -1,92 -1,94 -1,96
5800,0 -1,91 -1,92 -1,94 -1,95
5810,0 -1,91 -1,92 -1,94 -1,94
5820,0 -1,91 -1,92 -1,94 -1,94
5830,0 -1,91 -1,92 -1,94 -1,94
5840,0 -1,91 -1,92 -1,94 -1,94
5850,0 -1,91 -1,92 -1,94 -1,95
5860,0 -1,89 -1,92 -1,94 -1,96
5870,0 -1,89 -1,92 -1,94 -1,96
5880,0 -1,90 -1,92 -1,94 -1,96
5890,0 -1,92 -1,92 -1,94 -1,96
5900,0 -1,92 -1,92 -1,94 -1,95
5910,0 -1,92 -1,92 -1,94 -1,94
5920,0 -1,92 -1,92 -1,94 -1,94
5930,0 -1,92 -1,92 -1,94 -1,94
5940,0 -1,91 -1,92 -1,94 -1,94
5950,0 -1,91 -1,92 -1,94 -1,95
5960,0 -1,91 -1,92 -1,94 -1,96
5970,0 -1,91 -1,92 -1,94 -1,96
5980,0 -1,91 -1,92 -1,94 -1,96
5990,0 -1,91 -1,92 -1,94 -1,96
