0,0 0,00 1,00 0,00 1,00
1320,0 -1,91 -1,92 -1,94 -1,94
1330,0 -1,91 -1,92 -1,94 -1,94
1340,0 -1,91 -1,92 -1,94 -1,94
1350,0 -1,91 -1,92 -1,94 -1,94
1360,0 -1,91 -1,92 -1,94 -1,95
1370,0 -1,91 -1,92 -1,94 -1,96
1380,0 -1,91 -1,92 -1,94 -1,96
1390,0 -1,89 -1,92 -1,94 -1,96
1400,0 -1,90 -1,92 -1,94 -1,96
1410,0 -1,90 -1,92 -1,94 -1,95
1420,0 -1,92 -1,92 -1,94 -1,94
1430,0 -1,92 -1,92 -1,94 -1,94
1440,0 -1,92 -1,92 -1,94 -1,94
1450,0 -1,92 -1,92 -1,94 -1,94
1460,0 -1,92 -1,92 -1,94 -1,95
1470,0 -1,91 -1,92 -1,94 -1,96
1480,0 -1,91 -1,92 -1,94 -1,96
1490,0 -1,91 -1,92 -1,94 -1,96
1500,0 -1,91 -1,92 -1,94 -1,96
1510,0 -1,91 -1,92 -1,94 -1,96
1520,0 -1,91 -1,92 -1,94 -1,94
1530,0 -1,91 -1,92 -1,94 -1,94
1540,0 -1,91 -1,92 -1,94 -1,94
1550,0 -1,91 -1,92 -1,94 -1,94
1560,0 -1,91 -1,92 -1,94 -1,94
1570,0 -1,91 -1,92 -1,94 -1,96
1580,0 -1,91 -1,92 -1,94 -1,96
1590,0 -1,91 -1,92 -1,94 -1,96
1600,0 -1,89 -1,92 -1,94 -1,96
1610,0 -1,89 -1,92 -1,94 -1,96
1620,0 -1,90 -1,92 -1,94 -1,94
1630,0 -1,92 -1,92 -1,94 -1,94
1640,0 -1,92 -1,92 -1,94 -1,94
1650,0 -1,92 -1,92 -1,94 -1,94
1660,0 -1,92 -1,92 -1,94 -1,94
1670,0 -1,91 -1,92 -1,94 -1,95
1680,0 -1,91 -1,92 -1,94 -1,96
1690,0 -1,91 -1,92 -1,94 -1,96
1700,0 -1,91 -1,92 -1,94 -1,96
1710,0 -1,91 -1,92 -1,94 -1,96
1720,0 -1,91 -1,92 -1,94 -1,94
1730,0 -1,91 -1,92 -1,94 -1,94
1740,0 -1,91 -1,92 -1,94 -1,94
1750,0 -1,91 -1,92 -1,94 -1,94
1760,0 -1,91 -1,92 -1,94 -1,94
1770,0 -1,91 -1,92 -1,94 -1,95
1780,0 -1,89 -1,92 -1,94 -1,96
1790,0 -1,89 -1,92 -1,94 -1,96
1800,0 -1,90 -1,92 -1,94 -1,96
1810,0 -1,92 -1,92 -1,94 -1,96
1820,0 -1,92 -1,92 -1,94 -1,95
1830,0 -1,92 -1,92 -1,94 -1,94
1840,0 -1,92 -1,92 -1,94 -1,94
1850,0 -1,92 -1,92 -1,94 -1,94
1860,0 -1,91 -1,92 -1,94 -1,94
1870,0 -1,91 -1,92 -1,94 -1,95
1880,0 -1,91 -1,92 -1,94 -1,96
1890,0 -1,91 -1,92 -1,94 -1,96
1900,0 -1,91 -1,92 -1,94 -1,96
1910,0 -1,91 -1,92 -1,94 -1,96
1920,0 -1,91 -1,92 -1,94 -1,95
1930,0 -1,91 -1,92 -1,94 -1,94
1940,0 -1,91 -1,92 -1,94 -1,94
1950,0 -1,91 -1,92 -1,94 -1,94
1960,0 -1,91 -1,92 -1,94 -1,94
1970,0 -1,91 -1,92 -1,94 -1,95
1980,0 -1,91 -1,92 -1,94 -1,96
1990,0 -1,91 -1,92 -1,94 -1,96
2000,0 -1,91 -1,92 -1,94 -1,96
2010,0 -1,89 -1,92 -1,94 -1,96
2020,0 -1,89 -1,92 -1,94 -1,96
2030,0 -1,91 -1,92 -1,94 -1,94
2040,0 -1,92 -1,92 -1,94 -1,94
2050,0 -1,92 -1,92 -1,94 -1,94
2060,0 -1,92 -1,92 -1,94 -1,94
2070,0 -1,92 -1,92 -1,94 -1,94
2080,0 -1,91 -1,92 -1,94 -1,96
2090,0 -1,91 -1,92 -1,94 -1,96
2100,0 -1,91 -1,92 -1,94 -1,96
2110,0 -1,91 -1,92 -1,94 -1,96
