0,00    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    1,00000000    0,00000000    1,00000000    0,00000000    0,00000000
11,00    -1,69357441    1,69432064    1,72253135    1,72282344    1,72291056    1,72265184    1,72273789    1,72282451    1,72291056    1,72265184    1,72273789    1,72282451    1,72291056    1,72265184    1,72273789    1,72282451    1,72291056    1,72265184    1,72273789    1,72282451    1,72291056    1,72265184    1,72273789    1,72282451    1,72291056    1,72265184    1,72273789    1,72282451    1,72291057    1,72265171    1,77086750    1,72721269    -1,80046447    -1,81479436    1,66527444    1,66527444
22,00    -1,61182296    1,61334906    1,64086563    1,64127958    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086526    1,64107040    1,64128066    1,64148568    1,64086397    1,78747174    1,75092260    -1,28794252    -1,32950693    1,44431037    1,44431037
33,00    -1,52767413    1,53013602    1,55666133    1,55721754    1,55756548    1,55651242    1,55685973    1,55721858    1,55756548    1,55651242    1,55685973    1,55721858    1,55756548    1,55651242    1,55685973    1,55721858    1,55756548    1,55651242    1,55685973    1,55721858    1,55756548    1,55651242    1,55685973    1,55721858    1,55756548    1,55651242    1,55685973    1,55721858    1,55756547    1,55650946    1,82371350    1,79475131    2,08131756    2,06340761    1,06040490    1,06040490
44,00    -1,44098373    1,44459108    1,46969112    1,47041512    1,47093551    1,46935393    1,46987451    1,47041599    1,47093551    1,46935393    1,46987451    1,47041599    1,47093551    1,46935393    1,46987451    1,47041599    1,47093551    1,46935393    1,46987451    1,47041599    1,47093551    1,46935393    1,46987451    1,47041599    1,47093551    1,46935393    1,46987451    1,47041599    1,47093546    1,46934851    1,83071121    1,80620789    2,07223156    2,03966562    -1,97731595    -1,97731595
55,00    -1,35164398    1,35668985    1,37970585    1,38062966    1,38136518    1,37911975    1,37985726    1,38063006    1,38136516    1,37911975    1,37985726    1,38063006    1,38136516    1,37911975    1,37985726    1,38063006    1,38136516    1,37911975    1,37985726    1,38063006    1,38136516    1,37911975    1,37985726    1,38063006    1,38136516    1,37911975    1,37985726    1,38063006    1,38136505    1,37911047    1,83700352    1,81656622    2,06372833    2,03463048    -1,80841006    -1,80841006
66,00    -1,25966974    1,26658319    1,28645658    1,28761921    1,28863242    1,28552030    1,28653975    1,28761822    1,28863238    1,28552029    1,28653975    1,28761822    1,28863238    1,28552029    1,28653975    1,28761822    1,28863238    1,28552029    1,28653975    1,28761822    1,28863238    1,28552029    1,28653975    1,28761822    1,28863238    1,28552029    1,28653975    1,28761822    1,28863213    1,28550451    1,84266834    1,82584384    2,05569119    2,03009826    -1,60251211    -1,60251211
77,00    -1,16543969    1,17488372    1,18977258    1,19121394    1,19260337    1,18829267    1,18969938    1,19120863    1,19260321    1,18829266    1,18969938    1,19120863    1,19260321    1,18829266    1,18969938    1,19120863    1,19260321    1,18829266    1,18969938    1,19120863    1,19260321    1,18829266    1,18969938    1,19120863    1,19260321    1,18829266    1,18969938    1,19120861    1,19260261    1,18826455    1,84777357    1,83418138    2,04810528    2,02631533    -1,30864603    -1,30864603
88,00    -1,07053537    1,08356919    1,08988985    1,09160575    1,09354094    1,08740991    1,08939822    1,09158356    1,09354015    1,08740989    1,08939821    1,09158356    1,09354015    1,08740989    1,08939821    1,09158356    1,09354015    1,08740989    1,08939821    1,09158356    1,09354015    1,08740989    1,08939821    1,09158356    1,09354015    1,08740989    1,08939821    1,09158350    1,09353839    1,08735353    1,85237986    1,84175012    2,04099858    2,03324506    1,25511850    1,25511850
99,00    -0,98156831    0,99947257    0,98929596    0,99092209    0,99370818    0,98431687    0,98732571    0,99080369    0,99370192    0,98431655    0,98732570    0,99080369    0,99370192    0,98431655    0,98732570    0,99080369    0,99370192    0,98431655    0,98732570    0,99080369    0,99370192    0,98431655    0,98732570    0,99080369    0,99370192    0,98431655    0,98732568    0,99080329    0,99369429    0,98416966    1,85654816    1,84856555    2,03428598    2,03340455    1,90915189    1,90915189
110,00    -0,93226294    0,94927804    0,90895015    0,90735013    0,91095204    0,89443804    0,89959179    0,90633651    0,91086267    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443040    0,89959124    0,90633647    0,91086266    0,89443036    0,89959078    0,90633093    0,91080108    0,89379530    1,86041910    1,85466867    2,02792224    2,02692945    1,74790737    1,74790737
121,00    -1,01057158    0,99607541    0,99787978    0,99273615    0,99050992    0,98481624    0,98644846    0,98931579    0,98991441    0,98472537    0,98643806    0,98931485    0,98991434    0,98472536    0,98643806    0,98931485    0,98991434    0,98472536    0,98643806    0,98931485    0,98991434    0,98472536    0,98643806    0,98931484    0,98991428    0,98472471    0,98643244    0,98927323    0,98964955    0,98348170    1,86511733    1,86020875    2,02194655    2,02065313    1,55246713    1,55246713
132,00    -1,04210788    1,04455985    1,08773307    1,09586415    1,09696143    1,10731811    1,10468987    1,09915137    1,09744511    1,10737889    1,10469651    1,09915197    1,09744516    1,10737889    1,10469651    1,09915197    1,09744516    1,10737889    1,10469651    1,09915197    1,09744516    1,10737889    1,10469651    1,09915197    1,09744519    1,10737930    1,10470035    1,09918466    1,09768506    1,10874413    1,86975652    1,86523977    2,01633567    2,01431439    1,27597067    1,27597067
143,00    -0,99148429    1,00913884    1,02021682    1,02484511    1,02655135    1,03036155    1,02941984    1,02714213    1,02698852    1,03043385    1,02942996    1,02714336    1,02698866    1,03043386    1,02942996    1,02714336    1,02698866    1,03043386    1,02942996    1,02714336    1,02698866    1,03043386    1,02942996    1,02714337    1,02698873    1,03043452    1,02943491    1,02717577    1,02717190    1,03134479    1,87256862    1,86975618    2,01102238    1,99939433    -0,92995435    -0,92995435
154,00    -0,95913352    0,97309277    0,94825439    0,94566875    0,94671725    0,94163729    0,94282670    0,94486019    0,94661790    0,94164051    0,94282933    0,94486073    0,94661799    0,94164052    0,94282934    0,94486073    0,94661799    0,94164052    0,94282934    0,94486073    0,94661799    0,94164052    0,94282934    0,94486074    0,94661803    0,94164075    0,94282985    0,94485869    0,94660578    0,94173729    1,87504180    1,87386783    2,00604437    1,98836903    -1,88775380    -1,88775380
165,00    -1,00014327    0,98664314    0,96548636    0,95383469    0,94964138    0,92868112    0,93337933    0,94384280    0,94738686    0,92820293    0,93330542    0,94383361    0,94738584    0,92820282    0,93330541    0,94383361    0,94738584    0,92820282    0,93330541    0,94383361    0,94738584    0,92820282    0,93330541    0,94383355    0,94738527    0,92819791    0,93327440    0,94367459    0,94666310    0,92519982    1,87776477    1,87769340    2,00144678    1,98672334    -1,70140715    -1,70140715
176,00    -1,02303203    1,02624572    1,06081970    1,07131526    1,07421809    1,08050418    1,07968228    1,07602160    1,07510676    1,08064066    1,07969320    1,07602134    1,07510653    1,08064061    1,07969319    1,07602133    1,07510653    1,08064061    1,07969319    1,07602133    1,07510652    1,08064060    1,07969319    1,07602132    1,07510647    1,08064110    1,07969980    1,07606232    1,07528967    1,08143918    1,88144279    1,88119365    1,99715340    1,98550762    -1,45936395    -1,45936395
187,00    -0,99114927    1,01458170    1,02863132    1,03690223    1,04192025    1,04885932    1,04818362    1,04398653    1,04382253    1,04931860    1,04827380    1,04400112    1,04382452    1,04931884    1,04827382    1,04400112    1,04382452    1,04931884    1,04827382    1,04400112    1,04382452    1,04931884    1,04827384    1,04400125    1,04382548    1,04932501    1,04830620    1,04415196    1,04444713    1,05141108    1,88359125    1,88438873    1,99313817    1,98559764    -0,99447886    -0,99447886
198,00    -0,97302872    0,98475462    0,96848303    0,96750928    0,96984377    0,96848602    0,96931760    0,96911652    0,97046519    0,96871689    0,96937162    0,96912651    0,97046683    0,96871715    0,96937165    0,96912651    0,97046684    0,96871715    0,96937165    0,96912651    0,97046684    0,96871715    0,96937167    0,96912663    0,97046755    0,96872144    0,96939147    0,96920760    0,97078708    0,96986915    1,88519091    1,88740350    1,98946919    2,00020277    1,97464147    1,97464147
209,00    -1,00158939    0,98318036    0,96449111    0,95295668    0,94707556    0,92972644    0,93263410    0,94047736    0,94342296    0,92880226    0,93244530    0,94044389    0,94341787    0,92880160    0,93244523    0,94044389    0,94341787    0,92880160    0,93244523    0,94044389    0,94341786    0,92880159    0,93244519    0,94044357    0,94341582    0,92878965    0,93238584    0,94019330    0,94256665    0,92647060    1,88688967    1,89003492    1,98593368    1,99583249    1,82355516    1,82355516
220,00    -1,01189820    1,01590698    1,03926129    1,04642264    1,04694135    1,04581612    1,04599910    1,04654560    1,04632004    1,04535476    1,04584435    1,04651196    1,04631376    1,04535351    1,04584414    1,04651193    1,04631376    1,04535351    1,04584414    1,04651193    1,04631376    1,04535350    1,04584405    1,04651148    1,04631118    1,04534005    1,04579546    1,04635614    1,04576852    1,04372877    1,88950693    1,89245091    1,98264137    1,99159604    1,64617702    1,64617702
231,00    -0,98760120    1,01778741    1,03070013    1,03989883    1,04690110    1,05465488    1,05470230    1,05073998    1,05064835    1,05583131    1,05499743    1,05080030    1,05065888    1,05583304    1,05499767    1,05080033    1,05065889    1,05583304    1,05499767    1,05080033    1,05065889    1,05583305    1,05499778    1,05080102    1,05066287    1,05585362    1,05508261    1,05110506    1,05161878    1,05837158    1,89128115    1,89465882    1,97956700    1,98734479    1,41739217    1,41739217
