0,00    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    0,00000000    1,00000000    0,00000000    1,00000000    0,00000000    0,00000000
100,00    -0,97445020    0,99279166    0,98044337    0,98199484    0,98487760    0,97505222    0,97819495    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819493    0,98185382    0,98486982    0,97505180    0,97819490    0,98185332    0,98486084    0,97488805    1,85690828    1,84914569    2,03369118    2,03280496    1,89545811    1,89545811
200,00    -0,97529669    0,98130544    0,96076230    0,95752581    0,95888684    0,95521976    0,95642145    0,95733670    0,95903300    0,95534957    0,95645641    0,95734346    0,95903421    0,95534979    0,95645644    0,95734346    0,95903421    0,95534979    0,95645644    0,95734346    0,95903421    0,95534980    0,95645646    0,95734356    0,95903473    0,95535292    0,95646983    0,95739322    0,95923468    0,95616121    1,88547293    1,88789919    1,98880786    1,99939485    1,94860723    1,94860723
300,00    -1,01218713    0,98323706    0,97793897    0,97151781    0,96527545    0,95045945    0,95158436    0,95680023    0,95894162    0,94800052    0,95080157    0,95658237    0,95888961    0,94798926    0,95079949    0,95658202    0,95888956    0,94798926    0,95079949    0,95658202    0,95888955    0,94798914    0,95079882    0,95657877    0,95887594    0,94793808    0,95063470    0,95611420    0,95777812    0,94566920    1,89827545    1,90502875    1,96469499    1,98195071    1,99947970    1,99947970
400,00    -0,98991920    1,01132912    1,01634954    1,01867108    1,01883101    1,01579120    1,01533104    1,01542484    1,01566371    1,01311923    1,01387913    1,01483716    1,01545982    1,01304529    1,01385674    1,01483139    1,01545847    1,01304495    1,01385665    1,01483128    1,01545804    1,01304317    1,01385059    1,01481210    1,01539864    1,01286587    1,01345764    1,01404708    1,01399966    1,01051747    1,90468123    1,91289530    1,95225959    1,96684989    1,45869241    1,45869241
500,00    -0,95916075    1,02382054    1,02106406    1,02170721    1,02495253    1,02765707    1,02942709    1,02913301    1,02998996    1,03102477    1,03121733    1,02993423    1,03030705    1,03115322    1,03126195    1,02994782    1,03031079    1,03115427    1,03126227    1,02994810    1,03031164    1,03115725    1,03127088    1,02997118    1,03037090    1,03130605    1,03156715    1,03051516    1,03134309    1,03306690    1,90765260    1,91656796    1,94599422    1,95008535    -0,87700832    -0,87700832
600,00    -1,00013581    0,99715716    0,99721956    0,99849327    1,00016159    0,99767060    0,99945290    1,00106648    1,00255065    0,99991035    1,00100968    1,00194761    1,00298801    1,00013681    1,00110991    1,00198655    1,00300168    1,00014186    1,00111190    1,00198822    1,00300532    1,00015187    1,00113560    1,00204166    1,00312187    1,00039850    1,00154351    1,00265480    1,00399433    1,00159330    1,90877872    1,91833217    1,94291329    1,94579203    -1,17285890    -1,17285890
700,00    -1,04725506    0,96709106    0,98066823    0,98726114    0,98961222    0,98423236    0,98525839    0,98715940    0,98822871    0,98268026    0,98414218    0,98650870    0,98789629    0,98250683    0,98406270    0,98647587    0,98788403    0,98250220    0,98406094    0,98647474    0,98788213    0,98249763    0,98405063    0,98645206    0,98783427    0,98239873    0,98387268    0,98614039    0,98729281    0,98143329    1,90928388    1,91917288    1,94139784    1,94341308    -1,33263974    -1,33263974
800,00    -1,01512611    0,99028976    0,99955417    1,00369066    1,00538665    1,00250493    1,00313701    1,00369757    1,00431759    1,00104043    1,00189103    1,00284978    1,00379690    1,00069041    1,00169551    1,00275488    1,00375437    1,00066909    1,00168482    1,00274695    1,00374249    1,00064360    1,00163756    1,00266267    1,00359184    1,00036862    1,00125332    1,00217508    1,00298423    0,99959234    1,90970955    1,91957350    1,94065411    1,94184768    -1,45111050    -1,45111050
900,00    -0,95611830    1,03976178    1,02568386    1,01782210    1,01505632    1,01214394    1,01244297    1,01263417    1,01354015    1,01209850    1,01285438    1,01304465    1,01383488    1,01231261    1,01297985    1,01310824    1,01386458    1,01232797    1,01298742    1,01311303    1,01387041    1,01233947    1,01300823    1,01315022    1,01393869    1,01247103    1,01321300    1,01345831    1,01441851    1,01326637    1,90994721    1,91976233    1,94028756    1,94067816    -1,54911993    -1,54911993
